timestamp,waypoints_file,velocity_pct,outcome,user_note,approach_arm_err,approach_grip_err,close_arm_err,close_grip_err,lift_arm_err,lift_grip_err,final_gripper
2026-05-13T17:04:25.048165,configs/bottle_grasp_waypoints_success_v3.json,50,success,,0.0014,0.0005,0.0016,0.0019,0.0017,0.0023,0.0519
2026-05-13T17:05:20.584203,configs/bottle_grasp_waypoints_success_v3.json,50,success,,0.0012,0.0006,0.0032,0.0019,0.0014,0.0023,0.0519
2026-05-13T17:06:19.128530,configs/bottle_grasp_waypoints_success_v3.json,50,success,,0.0013,0.0006,0.0013,0.0019,0.0017,0.0019,0.0515
2026-05-13T17:07:08.928506,configs/bottle_grasp_waypoints_success_v3.json,50,success,,0.0010,0.0006,0.0014,0.0019,0.0010,0.0019,0.0515
2026-05-13T17:07:41.428190,configs/bottle_grasp_waypoints_success_v3.json,50,success,,0.0015,0.0005,0.0012,0.0019,0.0015,0.0022,0.0518
2026-05-13T17:08:09.175712,configs/bottle_grasp_waypoints_success_v3.json,50,success,,0.0008,0.0006,0.0015,0.0018,0.0014,0.0019,0.0515
2026-05-13T17:08:42.458764,configs/bottle_grasp_waypoints_success_v3.json,50,success,,0.0014,0.0006,0.0018,0.0019,0.0017,0.0023,0.0519
2026-05-13T17:09:12.670403,configs/bottle_grasp_waypoints_success_v3.json,50,success,,0.0012,0.0005,0.0026,0.0018,0.0010,0.0019,0.0515
