frame,timestamp,j1,j2,j3,j4,j5,j6,gripper,action_j1,action_j2,action_j3,action_j4,action_j5,action_j6,action_gripper
20,0.666667,-0.016990456730127335,0.2290571630001068,-0.3828085660934448,0.038167472928762436,0.14330245554447174,-0.03556831553578377,0.0,-0.016990456730127335,0.2871282398700714,-0.42104583978652954,0.038167472928762436,0.14403510093688965,-0.04388910531997681,0.0
21,0.700000,-0.016990456730127335,0.2871282398700714,-0.42104583978652954,0.038167472928762436,0.14403510093688965,-0.04388910531997681,0.0,-0.016990456730127335,0.3396521210670471,-0.46486514806747437,0.038167472928762436,0.14637260138988495,-0.06056556850671768,0.0
22,0.733333,-0.016990456730127335,0.3396521210670471,-0.46486514806747437,0.038167472928762436,0.14637260138988495,-0.06056556850671768,0.0,-0.016990456730127335,0.39273422956466675,-0.5015847682952881,0.038167472928762436,0.1483437716960907,-0.0823705643415451,0.0
23,0.766667,-0.016990456730127335,0.39273422956466675,-0.5015847682952881,0.038167472928762436,0.1483437716960907,-0.0823705643415451,0.0,-0.016990456730127335,0.44475221633911133,-0.5363681316375732,0.038167472928762436,0.1483437716960907,-0.10701894015073776,0.0
24,0.800000,-0.016990456730127335,0.44475221633911133,-0.5363681316375732,0.038167472928762436,0.1483437716960907,-0.10701894015073776,0.0,-0.016990456730127335,0.5014452338218689,-0.5672439932823181,0.038167472928762436,0.14148828387260437,-0.12571890652179718,0.0
25,0.833333,-0.016990456730127335,0.5014452338218689,-0.5672439932823181,0.038167472928762436,0.14148828387260437,-0.12571890652179718,0.0,-0.011478152126073837,0.5450552105903625,-0.5925378203392029,0.038167472928762436,0.12271854281425476,-0.14185461401939392,0.0
26,0.866667,-0.011478152126073837,0.5450552105903625,-0.5925378203392029,0.038167472928762436,0.12271854281425476,-0.14185461401939392,0.0,-0.003610908053815365,0.5836238861083984,-0.6115866303443909,0.038167472928762436,0.09201709926128387,-0.15439684689044952,0.0
27,0.900000,-0.003610908053815365,0.5836238861083984,-0.6115866303443909,0.038167472928762436,0.09201709926128387,-0.15439684689044952,0.0,0.00914065632969141,0.6176397204399109,-0.6192619800567627,0.038167472928762436,0.05761753022670746,-0.16121745109558105,0.0
28,0.933333,0.00914065632969141,0.6176397204399109,-0.6192619800567627,0.038167472928762436,0.05761753022670746,-0.16121745109558105,0.0,0.021927107125520706,0.6484981179237366,-0.6212331652641296,0.0376615971326828,0.02951524779200554,-0.16381660103797913,0.0
29,0.966667,0.021927107125520706,0.6484981179237366,-0.6212331652641296,0.0376615971326828,0.02951524779200554,-0.16381660103797913,0.0,0.03855124115943909,0.6815719604492188,-0.6212331652641296,0.0376615971326828,0.006960155908018351,-0.16756705939769745,0.0
30,1.000000,0.03855124115943909,0.6815719604492188,-0.6212331652641296,0.0376615971326828,0.006960155908018351,-0.16756705939769745,0.0,0.053169313818216324,0.7100231051445007,-0.6212331652641296,0.035603202879428864,-0.010710615664720535,-0.16915446519851685,0.0
31,1.033333,0.053169313818216324,0.7100231051445007,-0.6212331652641296,0.035603202879428864,-0.010710615664720535,-0.16915446519851685,0.0,0.0659732073545456,0.737846314907074,-0.6212331652641296,0.03202718496322632,-0.029148923233151436,-0.1718931794166565,0.0
32,1.066667,0.0659732073545456,0.737846314907074,-0.6212331652641296,0.03202718496322632,-0.029148923233151436,-0.1718931794166565,0.0,0.07860266417264938,0.7778977155685425,-0.6212331652641296,0.01859530434012413,-0.05376240983605385,-0.1741957813501358,0.0
33,1.100000,0.07860266417264938,0.7778977155685425,-0.6212331652641296,0.01859530434012413,-0.05376240983605385,-0.1741957813501358,0.0,0.0870630070567131,0.8085119724273682,-0.6212331652641296,0.01615314371883869,-0.06759549677371979,-0.1741957813501358,0.0
34,1.133333,0.0870630070567131,0.8085119724273682,-0.6212331652641296,0.01615314371883869,-0.06759549677371979,-0.1741957813501358,0.0,0.08906906098127365,0.8342592716217041,-0.6212331652641296,0.011547927744686604,-0.08284155279397964,-0.17604485154151917,0.0
35,1.166667,0.08906906098127365,0.8342592716217041,-0.6212331652641296,0.011547927744686604,-0.08284155279397964,-0.17604485154151917,0.0,0.0902901440858841,0.8640362024307251,-0.6212331652641296,0.01146070845425129,-0.10445467382669449,-0.1843656301498413,0.0
36,1.200000,0.0902901440858841,0.8640362024307251,-0.6212331652641296,0.01146070845425129,-0.10445467382669449,-0.1843656301498413,0.0,0.09187754988670349,0.8884578347206116,-0.6167325973510742,0.01146070845425129,-0.13707494735717773,-0.1921631097793579,0.0
37,1.233333,0.09187754988670349,0.8884578347206116,-0.6167325973510742,0.01146070845425129,-0.13707494735717773,-0.1921631097793579,0.0,0.09187754988670349,0.9112920165061951,-0.601015567779541,0.01146070845425129,-0.18265612423419952,-0.2017398625612259,0.0
38,1.266667,0.09187754988670349,0.9112920165061951,-0.601015567779541,0.01146070845425129,-0.18265612423419952,-0.2017398625612259,0.0,0.09187754988670349,0.9353123903274536,-0.5805886387825012,0.01146070845425129,-0.24541963636875153,-0.21688124537467957,0.0
39,1.300000,0.09187754988670349,0.9353123903274536,-0.5805886387825012,0.01146070845425129,-0.24541963636875153,-0.21688124537467957,0.0,0.09187754988670349,0.9520586133003235,-0.556725263595581,0.01146070845425129,-0.3027231693267822,-0.23329605162143707,0.0
40,1.333333,0.09187754988670349,0.9520586133003235,-0.556725263595581,0.01146070845425129,-0.3027231693267822,-0.23329605162143707,0.0,0.09187754988670349,0.9741427302360535,-0.5326002240180969,0.01146070845425129,-0.35749733448028564,-0.24625694751739502,0.0
